,title,extract,vectored
274,Recommendation,"Recommendation may refer to:European Union recommendation, in international law
Letter of recommendation, in employment or academia
W3C recommendation, in Internet contexts
A computer-generated recommendation created by a recommender system

","['recommendation', 0.1630599945783615, -0.24345999956130981, -0.49480998516082764, -0.48860999941825867, 0.5060399770736694, -0.07711900025606155, 0.2451300024986267, 0.0530100017786026, 0.058410998433828354, -0.33153998851776123, 0.05502200126647949, 0.8257200121879578, 0.2159000039100647, -0.163100004196167, 0.19596000015735626, 0.32795000076293945, -0.6428200006484985, -0.6591699719429016, 0.45197999477386475, -0.8504700064659119, 0.6779299974441528, -0.10001999884843826, 0.1984499990940094, -0.6482399702072144, -0.4395799934864044, -1.357200026512146, 0.16474999487400055, 0.030665000900626183, -1.2813999652862549, 0.23552000522613525, 1.6059000492095947, -0.40696999430656433, -0.9190300107002258, -0.553629994392395, 0.4914900064468384, -0.9520400166511536, 0.9623299837112427, -0.029280999675393105, 0.12219999730587006, -0.7398599982261658, 0.18188999593257904, -0.10311999917030334, -0.05053599923849106, -0.07387199997901917, -0.34397000074386597, 0.08520500361919403, -0.017033999785780907, 1.3720999956130981, 0.20864999294281006, 0.9531400203704834]"
275,Response,"Response may refer to:Call and response (music), musical structure
Reaction (disambiguation)
Request–response
Output or response, the result of telecommunications input
Response (liturgy), a line answering a versicle
Response (music) or antiphon, a response to a psalm or other part of a religious service
Response, a phase in emergency management
Response rate (survey)","['response', 0.7517200112342834, -0.5636399984359741, -0.05464499816298485, -0.2603900134563446, -0.15448999404907227, 0.09653399884700775, 0.4489800035953522, 0.2091200053691864, 0.09798800200223923, 0.13911999762058258, -0.08800999820232391, -0.2198600023984909, 0.20318999886512756, -0.09571199864149094, -0.1611499935388565, -0.06545600295066833, -0.5146600008010864, -0.4671199917793274, -0.27230000495910645, -0.3670099973678589, 0.14632000029087067, 0.048020001500844955, 0.012930000200867653, -0.7452700138092041, 0.40226998925209045, -1.6577999591827393, 0.11394000053405762, 0.23286999762058258, -0.014732999727129936, 0.6105499863624573, 3.2985000610351562, -0.1272200047969818, -0.24447999894618988, -1.2509000301361084, -0.5487200021743774, -0.2820500135421753, 0.5188500285148621, -0.7722200155258179, -0.5289499759674072, -0.09704200178384781, 0.020534999668598175, 0.32315999269485474, -0.49830999970436096, -0.47648999094963074, 0.8876699805259705, 0.029565999284386635, -0.12335000187158585, 1.2036999464035034, 0.06657599657773972, 0.8952999711036682]"
276,Selection,Selection may refer to:,"['selection', -0.5066199898719788, 0.42113998532295227, -0.9595000147819519, 0.4810299873352051, 0.5840700268745422, 0.15300999581813812, -0.7830899953842163, -0.22134000062942505, 0.6374099850654602, -0.10424000024795532, -0.09319800138473511, -0.10208000242710114, 0.0877700001001358, 0.3672400116920471, 0.5821300148963928, -0.11869999766349792, 0.1688700020313263, -0.5343800187110901, -0.29596999287605286, -0.954509973526001, -0.01891399919986725, -0.535610020160675, 0.33820998668670654, 0.10433000326156616, -0.28613001108169556, -0.779229998588562, -0.4434800148010254, -0.07930900156497955, -0.8712800145149231, 0.04262999817728996, 2.171799898147583, -0.037151999771595, -0.5761100053787231, -1.1877000331878662, 0.932889997959137, 0.14743000268936157, 0.47293001413345337, 1.2644000053405762, -0.9618600010871887, -0.8666800260543823, -0.1824599951505661, 0.11986000090837479, -0.8152499794960022, 0.4113500118255615, -0.1588899940252304, 0.17893999814987183, 0.2365099936723709, 0.9999799728393555, 0.2511900067329407, 0.42278000712394714]"
277,Storage,Storage may refer to:,"['storage', 0.83024001121521, 0.41971999406814575, 1.6775000095367432, 0.43740999698638916, 0.12487000226974487, -0.8055999875068665, -0.453249990940094, -0.6083300113677979, 1.4808000326156616, 0.15459999442100525, 0.2344300001859665, 0.02462800033390522, 0.1513500064611435, 0.07834500074386597, -0.06342799961566925, 0.8333100080490112, -0.258870005607605, 0.9147199988365173, 0.3771499991416931, -0.5545399785041809, 0.9681500196456909, -0.9807800054550171, -0.09120800346136093, -0.3732900023460388, -0.9536299705505371, -0.36076000332832336, 0.2615000009536743, 0.5775899887084961, 1.5888999700546265, 0.5562000274658203, 2.700200080871582, -0.8993600010871887, 0.08801399916410446, -0.5005000233650208, 0.4631099998950958, 1.7307000160217285, 0.2813499867916107, 0.8712000250816345, 0.9055799841880798, 0.25720998644828796, 1.1088000535964966, -0.4713900089263916, -0.037331998348236084, 0.790690004825592, -0.18494999408721924, 0.37457001209259033, 0.26750001311302185, -0.14066000282764435, -0.18005000054836273, -0.42159000039100647]"
278,Version,Version may refer to:,"['version', 0.05129300057888031, -0.2667500078678131, -0.018364999443292618, -0.18127000331878662, -0.3602699935436249, 0.8378999829292297, -0.9281200170516968, -1.6883000135421753, -0.5977299809455872, 0.9064900279045105, 0.3522399961948395, 0.5402600169181824, 0.1489800065755844, 0.5008299946784973, 0.7976700067520142, -0.06137299910187721, -0.9195500016212463, 0.5878900289535522, -0.4382300078868866, -0.40393999218940735, -0.03073900006711483, -0.10485000163316727, 0.02812799997627735, 0.426829993724823, 0.4286400079727173, -0.777970016002655, -1.006500005722046, 0.30548998713493347, -0.09283600002527237, -0.23478999733924866, 3.145400047302246, -1.2908999919891357, -0.4587799906730652, 0.4834200143814087, 0.4771600067615509, -0.08849799633026123, 1.2244999408721924, -0.35657998919487, -1.3234000205993652, -1.2299000024795532, 0.6992999911308289, -0.05522400140762329, -0.5107200145721436, -0.9770399928092957, -0.5089799761772156, 0.5681099891662598, 0.3837299942970276, -0.25529998540878296, -0.28488999605178833, 0.5634899735450745]"
279,Alcohol,"Alcohol most commonly refers to:Alcohol (chemistry), an organic compound in which a hydroxyl group is bound to a carbon atom
Alcohol (drug), an intoxicant found in alcoholic drinks","['alcohol', -0.5520399808883667, -0.2775599956512451, -0.7757099866867065, -0.7337999939918518, -0.31033000349998474, 1.3552000522613525, 0.09490100294351578, -0.5005699992179871, 1.3000999689102173, 1.6229000091552734, 0.9733999967575073, -0.345550000667572, 0.5611199736595154, -0.7571399807929993, 1.1654000282287598, 0.29100000858306885, -0.7186800241470337, 0.365200012922287, -0.09713300317525864, -0.8893899917602539, 0.7610800266265869, 0.41078999638557434, 1.0503000020980835, 0.8986499905586243, -0.8909400105476379, -1.4977999925613403, 0.6334900259971619, 0.2173900008201599, 1.2996000051498413, 0.6037600040435791, 2.0146000385284424, 0.5041999816894531, -0.41383999586105347, -0.7570300102233887, 0.6119300127029419, -0.09568300098180771, -0.16715000569820404, 0.007351799868047237, 1.011299967765808, 0.9652100205421448, -0.011455999687314034, 0.41148000955581665, 0.3262999951839447, 1.1398999691009521, 0.6723600029945374, -0.3858700096607208, -0.3707500100135803, 0.1458200067281723, 0.7493299841880798, -0.05144200101494789]"
280,Argument,"
An argument is a statement or group of statements called premises intended to determine the degree of truth or acceptability of another statement called a conclusion. Arguments can be studied from three main perspectives: the logical, the dialectical and the rhetorical perspective.","['argument', 0.07221300154924393, -0.3754599988460541, -0.5657200217247009, -0.06836800277233124, 0.7877100110054016, 0.918720006942749, 0.6521000266075134, 0.2567700147628784, -0.43125998973846436, 0.38179999589920044, -0.8555799722671509, -0.12261000275611877, -0.6009200215339661, -0.37365999817848206, 0.06960199773311615, 0.025404000654816628, 0.181659996509552, -0.6250100135803223, 0.04677699878811836, -0.6766800284385681, 0.08408500254154205, 0.23323999345302582, -0.4162299931049347, -0.16944999992847443, 0.6937100291252136, -1.9931999444961548, -0.09390199929475784, 0.33430999517440796, 0.3551200032234192, 0.127360001206398, 2.035599946975708, -0.8889999985694885, -0.5623300075531006, -0.9063299894332886, -0.1905899941921234, -0.9020100235939026, -0.18460999429225922, -0.014913000166416168, -0.4087199866771698, -0.2553899884223938, 0.1447100043296814, 0.017777999863028526, -0.46441999077796936, 1.2300000190734863, -0.36563000082969666, 0.07286400347948074, 0.3422299921512604, 0.7894999980926514, 0.011544999666512012, 0.20268000662326813]"
281,Complaint,"In legal terminology, a complaint is any formal legal document that sets out the facts and legal reasons that the filing party or parties believes are sufficient to support a claim against the party or parties against whom the claim is brought that entitles the plaintiff(s) to a remedy. For example, the Federal Rules of Civil Procedure (FRCP) that govern civil litigation in United States courts provide that a civil action is commenced with the filing or service of a pleading called a complaint. Civil court rules in states that have incorporated the Federal Rules of Civil Procedure use the same term for the same pleading.","['complaint', 0.06261599808931351, -0.6017299890518188, -0.674310028553009, 0.8734700083732605, 0.18860000371932983, 1.1075999736785889, 0.2050199955701828, 0.48315998911857605, 0.3229199945926666, -0.3797700107097626, -0.24198000133037567, -0.022846000269055367, -0.35328999161720276, -0.6482499837875366, 0.9642999768257141, -0.46011999249458313, -1.0898000001907349, -0.48069998621940613, 0.7422000169754028, -0.5127800107002258, 0.47968998551368713, 0.17250999808311462, -0.1742600053548813, 0.05223799869418144, -0.6565399765968323, -1.9816999435424805, 0.3157700002193451, 0.19336000084877014, -0.6268100142478943, -0.49755001068115234, 1.7705999612808228, -0.8872500061988831, -0.45329999923706055, -0.6628900170326233, -0.47464999556541443, -0.4357300102710724, 0.5917400121688843, -0.8886799812316895, 0.16638000309467316, -0.4764600098133087, 0.44143998622894287, 0.07184699922800064, -0.07819800078868866, 0.6117200255393982, 0.10446999967098236, -0.1886799931526184, -0.5072199702262878, 0.9865400195121765, 0.4124700129032135, 0.09620100259780884]"
282,Contract,"A contract is an agreement that specifies certain legally enforceable rights and obligations pertaining to two or more mutually agreeing parties. A contract typically involves the transfer of goods, services, money, or a promise to transfer any of those at a future date. In the event of a breach of contract, the injured party may seek judicial remedies such as damages or rescission. A binding agreement between actors in international law is known as a treaty.","['contract', -0.12391000241041183, 0.18682000041007996, -0.09734900295734406, 0.39414000511169434, -0.019930999726057053, 0.5112599730491638, -1.238700032234192, 0.15883000195026398, -0.3273099958896637, 0.3950200080871582, 0.6892300248146057, 0.5640100240707397, -0.5984699726104736, -0.2271600067615509, 1.044600009918213, -0.026528000831604004, -0.4620800018310547, 0.19155000150203705, -0.6953399777412415, -0.005544799845665693, 0.5607600212097168, -0.23016999661922455, -0.513159990310669, -0.5732600092887878, -1.2847000360488892, -1.0635000467300415, 1.2628999948501587, -0.11298999935388565, 0.4740599989891052, -0.044419001787900925, 2.905600070953369, 0.1021599993109703, -0.48906001448631287, 0.5473499894142151, 0.5929800271987915, -0.4453999996185303, 0.43191999197006226, -0.1526300013065338, 0.31821998953819275, -0.7906200289726257, 0.011435999535024166, -0.8798199892044067, 0.1702599972486496, 0.3332799971103668, -0.9935899972915649, -0.3175800144672394, -0.20996999740600586, 1.642199993133545, -0.5269299745559692, 0.4539099931716919]"
283,Emphasis,Emphasis or emphatic may refer to:,"['emphasis', -0.4517799913883209, 0.4212999939918518, -0.930620014667511, -0.8872600197792053, 0.2996099889278412, 0.22082999348640442, 0.26302000880241394, -1.0498000383377075, 0.43858999013900757, 0.3891899883747101, 0.1532900035381317, -0.006021600216627121, -0.21558000147342682, -0.44328999519348145, -0.8518999814987183, -0.22104999423027039, 0.04053200036287308, 0.02999899908900261, 0.6476799845695496, -0.48778998851776123, 0.12122000008821487, 0.0584149993956089, -0.4808200001716614, -0.4908500015735626, 0.4224100112915039, -0.8873800039291382, -0.545769989490509, -0.08748800307512283, 0.4316900074481964, 0.41168999671936035, 2.7488999366760254, 0.786549985408783, 0.12518000602722168, -1.0339000225067139, -0.2687399983406067, 0.1381700038909912, -0.5630300045013428, 0.4957599937915802, -0.7457600235939026, 0.3126800060272217, -0.09960199892520905, -0.31301000714302063, -0.2595899999141693, 0.2867499887943268, 0.1745299994945526, 0.0552930012345314, 0.5356199741363525, 0.8741899728775024, -0.21106000244617462, 0.36083000898361206]"
284,Highway,"A highway is any public or private road or other public way on land. It is used for major roads, but also includes other public roads and public tracks. In some areas of the United States, it is used as an equivalent term to controlled-access highway, or a translation for autobahn, autoroute, etc.","['highway', 0.08407600224018097, 0.7393100261688232, 1.3567999601364136, -0.05435200035572052, -1.2997000217437744, 0.11507999897003174, -0.4393799901008606, -0.5955399870872498, 0.7785000205039978, -1.236899971961975, -1.4081000089645386, -0.4937500059604645, -0.40046998858451843, -0.548009991645813, -1.1511000394821167, -0.37505000829696655, 0.03431899845600128, 0.7976300120353699, -0.22253000736236572, 0.20582999289035797, 0.1008400022983551, -0.17542000114917755, -0.18499000370502472, 0.7061499953269958, 0.6134899854660034, -1.2717000246047974, 0.5371400117874146, 0.9932699799537659, 0.8029999732971191, -0.8338299989700317, 2.4367001056671143, -0.624180018901825, 0.17871999740600586, 0.03525499999523163, 1.0743999481201172, -0.3562900125980377, 0.43762001395225525, -0.8426100015640259, -0.48987001180648804, 1.2627999782562256, -1.1531000137329102, 0.04792900010943413, 0.9327399730682373, -0.774370014667511, -1.8696999549865723, 0.3261300027370453, -0.22637000679969788, -0.773169994354248, 1.1496000289916992, -0.12230999767780304]"
285,Loss,Loss may refer to:,"['loss', 0.09977199882268906, 0.061611998826265335, 0.2961300015449524, 0.8447999954223633, 0.025187000632286072, 0.630079984664917, -0.10145000368356705, 0.8010299801826477, 0.1464100033044815, 0.30491000413894653, 0.043832000344991684, -0.4260900020599365, -0.5132099986076355, -1.385699987411499, 0.39893999695777893, -0.37902000546455383, -0.4205099940299988, -1.1155999898910522, -1.5770000219345093, 0.04623999819159508, -0.9752399921417236, -0.4447399973869324, -0.31593000888824463, -1.3278000354766846, -0.05501300096511841, -1.055999994277954, -0.26287999749183655, -0.35943999886512756, 0.9438400268554688, 0.40505000948905945, 3.1456000804901123, 1.2933000326156616, 0.9246000051498413, 0.035346999764442444, -0.2574000060558319, -0.20622000098228455, 0.24040000140666962, -0.048395998775959015, 1.0090999603271484, -1.0569000244140625, -0.17193999886512756, -0.5966600179672241, 0.012171999551355839, 0.38743001222610474, -0.1516599953174591, 1.082200050354004, -0.2772200107574463, 0.6743800044059753, 0.40799999237060547, -0.09051699936389923]"
286,Member,"Member may refer to:Military jury, referred to as ""Members"" in military jargon
Element (mathematics), an object that belongs to a mathematical set
In object-oriented programming, a member of a class
Field, entries in a database
Member variable, a variable that is associated with a specific object
Limb (anatomy), an appendage of the human or animal body
Euphemism for penis
Structural component of a truss, connected by nodes
User (computing), a person making use of a computing service, especially on the Internet
Member (geology), a component of a geological formation
Member of parliament
The Members, a British punk rock band
Meronymy, a semantic relationship in linguistics
Church membership, belonging to a local Christian congregation, a Christian denomination and the universal Church
Member, a participant in a club or learned society","['member', -0.5799400210380554, 0.6722999811172485, -0.2731800079345703, -0.1052900031208992, 0.8818399906158447, 0.4449799954891205, -0.45612001419067383, 0.14555999636650085, -0.18468999862670898, -1.184000015258789, 0.5598899722099304, 0.13496999442577362, -0.3176099956035614, 0.8713200092315674, -0.288129985332489, -0.47290998697280884, 0.472680002450943, 0.3503499925136566, 0.01321099977940321, 0.259799987077713, -0.027156999334692955, -0.12246999889612198, 0.5631800293922424, 0.5238100290298462, -0.9139699935913086, -1.6780999898910522, -0.15150000154972076, -0.9543799757957458, -1.8472000360488892, 0.4224199950695038, 2.7170000076293945, -0.2669000029563904, -0.8868399858474731, -0.5220000147819519, 0.001138300052843988, -0.5071099996566772, 0.2660900056362152, -0.2138500064611435, 0.2280000001192093, 0.07096300274133682, -0.6060699820518494, -0.1266999989748001, -0.37876999378204346, -0.39469000697135925, -0.1467200070619583, -0.003406600095331669, -1.2680000066757202, -0.19550999999046326, -0.02403399907052517, 0.27358001470565796]"
287,Possession,Possession may refer to:,"['possession', -0.5799700021743774, -0.6731399893760681, -0.34613001346588135, 0.247079998254776, 1.0281000137329102, 0.7772200107574463, 0.02993899956345558, 0.30491000413894653, 0.3270399868488312, 0.9262800216674805, 0.2530499994754791, 0.21926000714302063, -0.22516000270843506, -1.132599949836731, 0.5762100219726562, -0.4151099920272827, 0.1305599957704544, -0.6425700187683105, -1.1921000480651855, 0.181209996342659, 0.2667900025844574, -0.47124001383781433, -0.22066999971866608, -0.19529999792575836, -1.1827000379562378, -2.014899969100952, 0.6137999892234802, -0.5380899906158447, 1.6035000085830688, -0.708079993724823, 1.5413999557495117, -0.5288800001144409, -0.5701000094413757, -0.6679499745368958, 0.9638699889183044, 0.8420199751853943, -0.014464999549090862, 0.49943000078201294, -0.3632799983024597, -0.042482998222112656, 0.6266099810600281, 0.12014000117778778, 0.4716799855232239, 1.069599986076355, -0.5978599786758423, -0.24820999801158905, -0.21468999981880188, -0.1673399955034256, 0.4262799918651581, -1.1478999853134155]"
288,Preparation,"Preparation may refer to:Preparation (dental), the method by which a tooth is prepared when removing decay and designing a form that will provide adequate retention for a dental restoration
Preparation (music), treatment of dissonance in tonal music
Preparation, Iowa, a ghost town
Preparation time, time to prepare speeches in policy debate
The Preparation, a 2017 South Korean film
Preparations (album), a 2007 album by Prefuse 73
Prepared dosage form
Prepared drug
Prepared food
Prepared supplement
Special modifications to instruments, see
Prepared piano
Prepared guitar
Fossil preparation","['preparation', 0.5765399932861328, 0.08345799893140793, -1.1191999912261963, -0.1080700010061264, -0.1949000060558319, -0.5086299777030945, 0.17925000190734863, 0.5468000173568726, 0.6261100172996521, -0.22461000084877014, -0.17705999314785004, -0.3029400110244751, 0.10249000042676926, -0.16730999946594238, 0.4184400141239166, -0.19402000308036804, -0.0653190016746521, 0.1240599974989891, -0.25766998529434204, -0.19032999873161316, 0.7798900008201599, -0.10527999699115753, 0.16962000727653503, -0.37415000796318054, 0.041978999972343445, -0.5459700226783752, -0.012609000317752361, -0.26572999358177185, 0.5684900283813477, 0.4567500054836273, 2.664900064468384, 0.42914000153541565, -1.195199966430664, -0.5207399725914001, 0.37720000743865967, 0.9551299810409546, 0.564740002155304, 1.2685999870300293, -0.18363000452518463, -0.13304999470710754, -0.0795769989490509, -0.7462199926376343, -0.07232899963855743, -0.015769999474287033, 0.4307900071144104, 0.2258799970149994, 0.7516599893569946, 0.8542500138282776, -0.021412000060081482, 0.4401699900627136]"
289,Steak,"A steak is a thick cut of meat generally sliced across the muscle fibers, sometimes including a bone. It is normally grilled or fried. Steak can be diced, cooked in sauce, such as in steak and kidney pie, or minced and formed into patties, such as hamburgers.","['steak', 0.39594000577926636, -0.37411999702453613, -1.6884000301361084, -0.41113001108169556, 0.8571699857711792, 0.7308099865913391, 0.11682000011205673, 0.46435999870300293, -0.10232000052928925, -0.5242800116539001, -1.0331000089645386, 0.051371000707149506, 0.9398099780082703, 0.969510018825531, 0.2395000010728836, 0.4369699954986572, 0.7753999829292297, -0.1580899953842163, -0.41776999831199646, -0.4164699912071228, 0.34529000520706177, -0.65829998254776, 0.23803000152111053, 1.0044000148773193, -1.509600043296814, -0.3655799925327301, -0.29780998826026917, 1.0855000019073486, 1.0657999515533447, -0.6257200241088867, 0.8931699991226196, 0.2925899922847748, 0.2117300033569336, 2.462399959564209, 0.324070006608963, 0.4181399941444397, 0.17463000118732452, 0.7009000182151794, 0.8701800107955933, -0.7017599940299988, 0.5614500045776367, 0.8555899858474731, 0.05666099861264229, 0.4371899962425232, 1.0932999849319458, 0.7569299936294556, 0.20736999809741974, -0.2626200020313263, -0.3039399981498718, 1.3945000171661377]"
290,Union,"Union commonly refers to:Trade union, an organization of workers
Union, in mathematics, a fundamental operation on sets","['union', -0.5026500225067139, 0.10106000304222107, -0.4887399971485138, -0.43105000257492065, -0.34490999579429626, 0.19234000146389008, -0.6143400073051453, 0.23309999704360962, -0.5432900190353394, -1.2972999811172485, 0.8412600159645081, -0.10395000129938126, -0.4984799921512604, 0.060238998383283615, -0.1525000035762787, -0.11466000229120255, 0.46705999970436096, 0.23625999689102173, 0.0563340000808239, -0.7952700257301331, 0.2113800048828125, -0.36629998683929443, -0.6839799880981445, 0.23944999277591705, -0.8745999932289124, -1.7544000148773193, 0.33562999963760376, -0.3102400004863739, -0.9325500130653381, 0.6987500190734863, 3.1561999320983887, 0.23382000625133514, -1.131100058555603, -0.027117999270558357, -1.0261000394821167, -0.9490500092506409, -0.1703599989414215, -0.6916999816894531, 0.2898400127887726, 0.25429999828338623, -0.23010000586509705, -0.4221000075340271, 0.5183500051498413, -0.503250002861023, -0.33362001180648804, 0.4181300103664398, -1.2085000276565552, 0.7558299899101257, -0.5853800177574158, -0.32322999835014343]"
291,Agreement,Agreement may refer to:,"['agreement', 0.6606299877166748, 0.3665800094604492, -0.6216099858283997, 0.6833500266075134, 0.18711000680923462, 0.4242599904537201, -0.570360004901886, -0.008328700438141823, -0.14294999837875366, -0.15000000596046448, 0.3811900019645691, 0.2668299973011017, -0.8107100129127502, -0.04444900155067444, 0.4808399975299835, 0.8196399807929993, 0.16610999405384064, -0.6726999878883362, 0.9215899705886841, -0.01700899936258793, 0.8473600149154663, 0.02118300087749958, -0.4525099992752075, -0.7389600276947021, -0.759119987487793, -1.2791999578475952, 0.8320599794387817, 0.2728999853134155, 0.229980006814003, -0.057652998715639114, 3.351599931716919, -0.17348000407218933, -1.8068000078201294, 0.3656499981880188, 0.09692099690437317, -1.2812000513076782, 0.05614300072193146, -0.3765600025653839, -0.47077998518943787, 0.056494999676942825, -0.45607998967170715, -0.8820800185203552, 0.366100013256073, -0.6075199842453003, -1.0527000427246094, 0.03172999992966652, -0.4986500144004822, 1.8431999683380127, -0.8174999952316284, -0.237419992685318]"
292,Cancer,"Cancer is a group of diseases involving abnormal cell growth with the potential to invade or spread to other parts of the body. These contrast with benign tumors, which do not spread. Possible signs and symptoms include a lump, abnormal bleeding, prolonged cough, unexplained weight loss, and a change in bowel movements. While these symptoms may indicate cancer, they can also have other causes. Over 100 types of cancers affect humans.","['cancer', 1.6062999963760376, 0.9593600034713745, 0.27138999104499817, -0.247639998793602, -0.5156700015068054, 2.001499891281128, -0.2307099997997284, -0.2246199995279312, 1.590000033378601, 0.731660008430481, 0.6494600176811218, -0.654259979724884, 0.08404500037431717, -0.16339999437332153, 0.5617200136184692, 0.3934600055217743, -0.7875199913978577, -0.5601599812507629, -0.4088299870491028, 0.9632899761199951, -0.8707900047302246, 0.21202999353408813, 1.2311999797821045, -0.3805199861526489, -0.28648999333381653, -1.5855000019073486, -0.44200000166893005, -0.5669199824333191, -0.3574399948120117, 0.2409999966621399, 1.9603999853134155, 0.44628000259399414, -0.06591399759054184, -1.457200050354004, -0.31975001096725464, -0.5403100252151489, 0.4934700131416321, 1.3849999904632568, 1.472000002861023, -0.5656599998474121, -0.553309977054596, -0.2048099935054779, -0.05833100154995918, 0.6696599721908569, 1.5393999814987183, 0.21921999752521515, -0.10593000054359436, -0.5514900088310242, -0.5642799735069275, 1.0450999736785889]"
293,Currency,"A currency is a standardization of money in any form, in use or circulation as a medium of exchange, for example banknotes and coins.
A more general definition is that a currency is a system of money in common use within a specific environment over time, especially for people in a nation state. Under this definition, the British Pound Sterling (£), euros (€), Japanese yen (¥), and U.S. dollars (US$) are examples of (government-issued) fiat currencies. Currencies may act as stores of value and be traded between nations in foreign exchange markets, which determine the relative values of the different currencies. Currencies in this sense are either chosen by users or decreed by governments, and each type has limited boundaries of acceptance; i.e., legal tender laws may require a particular unit of account for payments to government agencies.","['currency', -0.5354999899864197, -0.5153399705886841, 0.5695099830627441, -0.4161800146102905, 0.3257000148296356, -1.0463000535964966, 0.5098999738693237, -0.5923399925231934, -1.0413000583648682, 0.36789000034332275, 0.8016200065612793, 1.361799955368042, -0.35554999113082886, 0.2734000086784363, 0.6804100275039673, 1.1134999990463257, 0.501230001449585, -1.0570000410079956, -0.2116200029850006, 0.08211199939250946, 1.306399941444397, -1.332200050354004, -0.43404000997543335, -0.6573899984359741, -0.4227199852466583, -1.1984000205993652, 0.7186300158500671, 0.0797870010137558, 0.13420000672340393, 1.1145000457763672, 3.0025999546051025, 0.008155199699103832, 1.4247000217437744, 0.637719988822937, -0.6129500269889832, -0.5245500206947327, -0.8812599778175354, -0.6355400085449219, -0.48973000049591064, -1.051200032234192, -0.26916998624801636, 0.37163999676704407, 1.279099941253662, -0.20186999440193176, -0.18133999407291412, -0.7628600001335144, 0.17423999309539795, 0.9559199810028076, 0.5303800106048584, -0.597100019454956]"
294,Employment,"Employment is a relationship between two parties regulating the provision of paid labour services. Usually based on a contract, one party, the employer, which might be a corporation, a not-for-profit organization, a co-operative, or any other entity, pays the other, the employee, in return for carrying out assigned work. Employees work in return for wages, which can be paid on the basis of an hourly rate, by piecework or an annual salary, depending on the type of work an employee does, the prevailing conditions of the sector and the bargaining power between the parties. Employees in some sectors may receive gratuities, bonus payments or stock options. In some types of employment, employees may receive benefits in addition to payment. Benefits may include health insurance, housing, disability insurance. Employment is typically governed by employment laws, organisation or legal contracts.","['employment', -0.7326800227165222, -0.1681399941444397, -0.02139200083911419, -0.4470300078392029, 0.43612000346183777, 0.06293600052595139, -0.849590003490448, -0.3746899962425232, 0.48221999406814575, -0.5018399953842163, 0.4878099858760834, -0.5911999940872192, 0.4283300042152405, -0.8329399824142456, 0.7742400169372559, -0.028963999822735786, -0.22436000406742096, -0.476639986038208, 1.2367000579833984, -0.531440019607544, 0.7497100234031677, -0.09384600073099136, -0.8879799842834473, -0.1867700070142746, -0.219760000705719, -0.27755001187324524, 0.31696999073028564, -0.7099400162696838, 0.36289000511169434, 1.3279999494552612, 2.952699899673462, 0.24720999598503113, 0.3049499988555908, -1.1679999828338623, -0.16540999710559845, -0.21279999613761902, -0.42572999000549316, 0.00865320023149252, 0.3659000098705292, -0.5244100093841553, -0.9309599995613098, -0.7534499764442444, 0.5497900247573853, -0.008331299759447575, -0.10103999823331833, -1.26010000705719, -0.04471899941563606, 0.7967299818992615, 0.5866900086402893, 0.9515399932861328]"
295,Engineering,"Engineering is the use of scientific principles to design and build machines, structures, and other items, including bridges, tunnels, roads, vehicles, and buildings. The discipline of engineering encompasses a broad range of more specialized fields of engineering, each with a more specific emphasis on particular areas of applied mathematics, applied science, and types of application. See glossary of engineering.","['engineering', -0.3084700107574463, 0.23461000621318817, 0.11818999797105789, 0.503250002861023, -0.46219998598098755, 0.3346500098705292, -0.24591000378131866, -0.9029200077056885, 0.39836999773979187, -0.362199991941452, 1.079200029373169, 0.22551999986171722, -0.604420006275177, -0.3023099899291992, -1.409999966621399, -0.22967000305652618, -0.07523199915885925, 1.8487000465393066, -0.23882000148296356, -0.21087999641895294, 1.3640999794006348, 0.45649999380111694, -0.7513800263404846, -1.0069999694824219, -0.029306000098586082, -0.944890022277832, -0.8620799779891968, -1.4729000329971313, -0.9816200137138367, 0.2530600130558014, 2.658900022506714, -0.48034000396728516, 0.020104000344872475, -1.062999963760376, 0.7167199850082397, 0.5565000176429749, -0.4251500070095062, 1.309499979019165, 1.4427000284194946, 0.5115600228309631, -0.022319000214338303, -1.0667999982833862, 0.3900200128555298, 0.1676499992609024, 0.045271001756191254, 0.2151000052690506, 0.4915499985218048, 0.7813599705696106, -0.3140900135040283, 0.058329999446868896]"
